,,NAICS2012Code,best_match
,,count,
NAICS_4,ISICSec,,
1111,A,8,
1112,A,4,
1113,A,14,
1114,A,8,
1119,A,14,
1119,C,1,
1121,A,4,
1122,A,1,
1123,A,6,
1124,A,2,
1125,A,6,
1129,A,7,
1131,A,1,
1132,A,2,
1133,A,2,
1133,C,1,
1141,A,6,
1142,A,1,
1151,A,8,
1152,A,1,
1152,M,1,
1153,A,1,
2111,B,4,
2121,B,3,
2122,B,9,
2123,B,17,
2131,B,5,
2131,F,3,
2211,D,10,
2212,D,1,
2213,D,1,
2213,E,2,
2213,H,1,
2361,F,4,
2362,F,5,
2371,F,4,
2372,F,1,
2373,F,2,
2379,F,4,
2381,F,9,
2382,C,3,
2382,F,5,
2382,N,1,
2383,F,10,
2389,F,5,
3111,C,2,
3112,C,10,
3113,C,5,
3114,C,13,
3115,C,7,
3116,C,5,
3117,A,1,
3117,C,5,
3118,C,8,
3119,B,1,
3119,C,16,
3121,C,7,
3121,D,1,
3122,C,1,
3131,C,1,
3132,C,7,
3133,C,4,
3141,C,3,
3149,C,12,
3151,C,2,
3152,C,7,
3159,C,4,
3161,C,1,
3162,C,1,
3169,C,4,
3211,C,3,
3212,C,6,
3219,C,15,
3221,C,9,
3222,C,16,
3231,C,7,
3231,N,1,
3241,C,7,
3251,C,13,
3252,C,4,
3253,C,5,
3254,C,5,
3255,C,3,
3256,C,8,
3259,C,10,
3259,N,1,
3261,C,14,
3262,C,8,
3271,C,5,
3272,C,4,
3273,C,5,
3274,C,3,
3279,C,8,
3311,C,1,
3312,C,6,
3313,C,6,
3314,C,7,
3315,C,7,
3321,C,6,
3322,C,8,
3323,C,15,
3324,C,10,
3325,C,1,
3326,C,3,
3327,C,3,
3328,C,3,
3329,C,23,
3331,C,20,
3332,C,15,
3333,C,12,
3334,C,6,
3335,C,9,
3336,C,7,
3339,C,29,
3341,C,3,
3342,C,8,
3343,C,1,
3344,C,6,
3345,C,11,
3346,C,2,
3351,C,6,
3352,C,5,
3353,C,5,
3359,C,9,
3361,C,3,
3362,C,7,
3363,C,25,
3364,C,7,
3365,C,2,
3366,C,3,
3369,C,7,
3371,C,7,
3372,C,7,
3379,C,8,
3391,C,9,
3399,C,49,
4231,G,11,
4232,G,5,
4233,G,5,
4234,G,9,
4235,G,3,
4236,G,6,
4237,G,6,
4238,G,9,
4239,G,12,
4241,G,4,
4242,G,1,
4243,G,4,
4244,G,11,
4245,G,4,
4246,G,4,
4247,G,2,
4248,G,2,
4249,G,14,
4251,G,8,
4411,G,2,
4412,C,1,
4412,G,6,
4413,G,4,
4421,G,1,
4422,G,4,
4422,S,1,
4431,C,1,
4431,G,5,
4431,S,2,
4441,G,6,
4442,G,2,
4442,S,1,
4451,G,2,
4452,G,8,
4453,G,1,
4461,G,5,
4471,G,3,
4481,G,7,
4482,G,1,
4483,G,2,
4483,S,2,
4511,G,4,
4511,S,2,
4512,G,2,
4521,G,2,
4529,G,4,
4531,G,1,
4532,G,2,
4533,G,1,
4539,C,1,
4539,G,8,
4541,G,3,
4542,G,1,
4543,G,5,
4811,H,2,
4812,H,3,
4821,H,3,
4831,H,4,
4832,H,2,
4841,H,3,
4842,H,3,
4851,H,4,
4852,H,1,
4853,H,2,
4854,H,1,
4855,H,1,
4859,H,2,
4861,H,1,
4862,H,1,
4869,H,2,
4871,H,2,
4872,H,2,
4879,H,2,
4881,C,1,
4881,H,4,
4881,N,1,
4882,C,1,
4882,H,2,
4882,N,1,
4883,C,1,
4883,E,1,
4883,H,5,
4883,N,1,
4884,H,4,
4884,N,1,
4885,H,1,
4889,B,1,
4889,H,4,
4911,H,1,
4921,H,1,
4922,H,1,
4931,H,4,
5111,J,7,
5112,J,1,
5121,J,7,
5122,J,5,
5151,J,6,
5152,J,2,
5171,J,2,
5172,J,1,
5174,J,2,
5179,J,2,
5182,J,1,
5182,M,1,
5191,J,11,
5191,R,2,
5211,K,1,
5221,K,4,
5222,K,10,
5223,K,3,
5231,K,5,
5232,K,1,
5239,K,6,
5239,L,1,
5241,K,6,
5242,K,4,
5251,K,3,
5259,K,3,
5311,L,4,
5312,L,1,
5313,L,4,
5321,N,4,
5322,N,7,
5323,N,2,
5324,N,4,
5331,N,1,
5411,M,4,
5412,M,4,
5413,M,8,
5414,M,4,
5415,J,4,
5416,K,1,
5416,M,8,
5417,M,3,
5418,M,8,
5419,M,7,
5419,N,1,
5419,Q,1,
5511,K,2,
5511,M,1,
5611,N,1,
5612,N,1,
5612,O,1,
5613,N,4,
5614,N,11,
5614,O,1,
5615,N,4,
5616,N,6,
5617,F,1,
5617,N,5,
5617,S,1,
5619,C,1,
5619,N,3,
5619,O,2,
5621,E,3,
5622,E,5,
5629,E,4,
6111,P,3,
6112,P,1,
6113,P,1,
6114,P,3,
6115,P,5,
6116,P,8,
6117,P,1,
6211,Q,2,
6212,Q,1,
6213,Q,6,
6214,Q,10,
6215,Q,2,
6216,Q,1,
6219,Q,3,
6221,Q,1,
6222,Q,1,
6223,Q,1,
6231,Q,1,
6232,Q,2,
6233,Q,2,
6239,Q,1,
6241,Q,3,
6242,Q,4,
6243,Q,1,
6244,Q,1,
7111,R,5,
7112,R,3,
7113,R,7,
7114,M,1,
7115,C,2,
7115,M,1,
7115,R,1,
7121,R,4,
7131,R,2,
7132,R,2,
7139,H,1,
7139,N,1,
7139,R,8,
7211,I,5,
7211,R,1,
7212,I,2,
7213,I,1,
7223,I,4,
7224,I,1,
7225,I,5,
8111,C,1,
8111,G,9,
8111,M,1,
8112,C,6,
8112,S,5,
8113,C,6,
8113,G,1,
8113,N,1,
8114,C,5,
8114,G,1,
8114,S,6,
8121,S,5,
8122,S,2,
8123,S,4,
8129,H,1,
8129,J,1,
8129,M,2,
8129,S,4,
8131,S,1,
8132,S,3,
8133,S,3,
8134,S,1,
8139,R,1,
8139,S,5,
8141,T,1,
9211,O,7,
9221,O,9,
9231,O,7,
9241,O,4,
9251,O,2,
9261,N,1,
9261,O,9,
9271,H,1,
9271,O,1,
9281,O,6,
9281,U,1,
